date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:55	165/165	---MCZ	200	added ('OK')	text/plain	etag:W/%22151-172cd6c5b10%22	https://groovy.bot/robots.txt		(from )
13:36:55	49606/49606	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2010:36:57%20GMT	https://groovy.bot/	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/index.html	(from )
13:36:55	69919/69919	---MC-	200	added ('OK')	application/javascript	date:Wed,%2001%20Jul%202020%2009:00:00%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-W338CH2	C:/Benim%20Web%20Sitem/sadasfdawsd/www.googletagmanager.com/gtm4c85.js	(from https://groovy.bot/)
13:36:55	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2247e-172cd6c5b10%22	https://groovy.bot/favicon.ico	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/favicon.ico	(from https://groovy.bot/)
13:36:56	3340/3340	---M--	200	added ('OK')	image/png	etag:W/%22d0c-172cd6c5b10%22	https://groovy.bot/img/icons/apple-icon-57x57.png	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/icons/apple-icon-57x57.png	(from https://groovy.bot/)
13:36:56	3505/3505	---M--	200	added ('OK')	image/png	etag:W/%22db1-172cd6c5b10%22	https://groovy.bot/img/icons/apple-icon-60x60.png	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/icons/apple-icon-60x60.png	(from https://groovy.bot/)
13:36:56	4176/4176	---M--	200	added ('OK')	image/png	etag:W/%221050-172cd6c5b10%22	https://groovy.bot/img/icons/apple-icon-72x72.png	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/icons/apple-icon-72x72.png	(from https://groovy.bot/)
13:36:56	4386/4386	---M--	200	added ('OK')	image/png	etag:W/%221122-172cd6c5b10%22	https://groovy.bot/img/icons/apple-icon-76x76.png	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/icons/apple-icon-76x76.png	(from https://groovy.bot/)
13:36:56	6963/6963	---M--	200	added ('OK')	image/png	etag:W/%221b33-172cd6c5b10%22	https://groovy.bot/img/icons/apple-icon-114x114.png	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/icons/apple-icon-114x114.png	(from https://groovy.bot/)
13:36:57	7343/7343	---M--	200	added ('OK')	image/png	etag:W/%221caf-172cd6c5b10%22	https://groovy.bot/img/icons/apple-icon-120x120.png	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/icons/apple-icon-120x120.png	(from https://groovy.bot/)
13:36:57	8993/8993	---M--	200	added ('OK')	image/png	etag:W/%222321-172cd6c5b10%22	https://groovy.bot/img/icons/apple-icon-144x144.png	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/icons/apple-icon-144x144.png	(from https://groovy.bot/)
13:36:57	9525/9525	---M--	200	added ('OK')	image/png	etag:W/%222535-172cd6c5b10%22	https://groovy.bot/img/icons/apple-icon-152x152.png	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/icons/apple-icon-152x152.png	(from https://groovy.bot/)
13:36:57	11647/11647	---M--	200	added ('OK')	image/png	etag:W/%222d7f-172cd6c5b10%22	https://groovy.bot/img/icons/apple-icon-180x180.png	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/icons/apple-icon-180x180.png	(from https://groovy.bot/)
13:36:57	11300/11300	---M--	200	added ('OK')	image/png	etag:W/%222c24-172cd6c5b10%22	https://groovy.bot/img/icons/android-icon-192x192.png	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/icons/android-icon-192x192.png	(from https://groovy.bot/)
13:36:58	1193/1193	---M--	200	added ('OK')	image/png	etag:W/%224a9-172cd6c5b10%22	https://groovy.bot/img/icons/favicon-16x16.png	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/icons/favicon-16x16.png	(from https://groovy.bot/)
13:36:58	1992/1992	---M--	200	added ('OK')	image/png	etag:W/%227c8-172cd6c5b10%22	https://groovy.bot/img/icons/favicon-32x32.png	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/icons/favicon-32x32.png	(from https://groovy.bot/)
13:36:58	5758/5758	---M--	200	added ('OK')	image/png	etag:W/%22167e-172cd6c5b10%22	https://groovy.bot/img/icons/favicon-96x96.png	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/icons/favicon-96x96.png	(from https://groovy.bot/)
13:36:59	136154/136154	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2001%20Jul%202020%2007:49:32%20GMT	https://js.chargebee.com/v2/chargebee.js	C:/Benim%20Web%20Sitem/sadasfdawsd/js.chargebee.com/v2/chargebee.js	(from https://groovy.bot/)
13:36:59	263/263	---MCZ	200	added ('OK')	application/json	etag:W/%22107-172a7e6d370%22	https://groovy.bot/_nuxt/manifest.36cb24be.json	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/_nuxt/manifest.36cb24be.json	(from https://groovy.bot/)
13:36:59	2771/2771	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ad3-172cd6d1a78%22	https://groovy.bot/_nuxt/9c413f779009897941f7.js	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/_nuxt/9c413f779009897941f7.js	(from https://groovy.bot/)
13:36:59	188312/188312	---MCZ	200	added ('OK')	application/javascript	etag:W/%222df98-172a7e6d370%22	https://groovy.bot/_nuxt/78aeeb87ce4518c6f4e7.js	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/_nuxt/78aeeb87ce4518c6f4e7.js	(from https://groovy.bot/)
